CMDLINE python main.py
MEM 67.031250 1704892769.8571
MEM 67.031250 1704892769.9576
MEM 67.031250 1704892770.0581
MEM 67.031250 1704892770.1586
MEM 67.031250 1704892770.2592
MEM 67.031250 1704892770.3601
MEM 67.031250 1704892770.4611
MEM 67.031250 1704892770.5621
MEM 67.031250 1704892770.6633
MEM 67.031250 1704892770.7646
MEM 67.031250 1704892770.8656
MEM 67.031250 1704892770.9658
MEM 67.031250 1704892771.0661
MEM 67.031250 1704892771.1672
MEM 67.031250 1704892771.2681
MEM 67.031250 1704892771.3690
MEM 67.031250 1704892771.4701
MEM 67.031250 1704892771.5703
MEM 67.031250 1704892771.6709
MEM 67.031250 1704892771.7715
MEM 67.031250 1704892771.8728
MEM 67.031250 1704892771.9733
MEM 67.031250 1704892772.0740
MEM 67.031250 1704892772.1748
MEM 67.031250 1704892772.2755
MEM 67.031250 1704892772.3766
MEM 67.031250 1704892772.4775
MEM 67.031250 1704892772.5782
MEM 67.031250 1704892772.6787
MEM 67.031250 1704892772.7803
MEM 67.031250 1704892772.8806
MEM 67.031250 1704892772.9812
MEM 67.031250 1704892773.0819
MEM 67.031250 1704892773.1830
MEM 67.031250 1704892773.2840
MEM 67.031250 1704892773.3847
MEM 67.031250 1704892773.4849
MEM 67.031250 1704892773.5852
MEM 67.031250 1704892773.6864
MEM 67.031250 1704892773.7868
MEM 67.031250 1704892773.8883
MEM 67.031250 1704892773.9884
MEM 67.031250 1704892774.0887
MEM 67.031250 1704892774.1902
MEM 67.031250 1704892774.2908
MEM 67.031250 1704892774.3918
MEM 67.031250 1704892774.4924
MEM 67.031250 1704892774.5929
MEM 67.031250 1704892774.6940
MEM 67.031250 1704892774.7949
MEM 67.031250 1704892774.8956
MEM 67.031250 1704892774.9960
MEM 67.031250 1704892775.0965
MEM 67.031250 1704892775.1972
MEM 67.031250 1704892775.2982
MEM 67.031250 1704892775.3998
MEM 67.031250 1704892775.5004
MEM 67.031250 1704892775.6012
MEM 67.031250 1704892775.7014
MEM 67.031250 1704892775.8025
MEM 67.031250 1704892775.9032
MEM 67.031250 1704892776.0043
MEM 67.031250 1704892776.1052
MEM 67.031250 1704892776.2062
MEM 67.031250 1704892776.3075
MEM 67.031250 1704892776.4088
MEM 67.035156 1704892776.5099
MEM 67.042969 1704892776.6107
MEM 67.042969 1704892776.7113
MEM 67.046875 1704892776.8121
MEM 67.046875 1704892776.9125
MEM 67.046875 1704892777.0129
MEM 67.046875 1704892777.1134
MEM 67.046875 1704892777.2146
MEM 67.046875 1704892777.3158
MEM 67.046875 1704892777.4170
MEM 67.046875 1704892777.5183
MEM 67.046875 1704892777.6192
MEM 67.046875 1704892777.7195
MEM 67.046875 1704892777.8203
MEM 67.046875 1704892777.9219
MEM 67.046875 1704892778.0226
MEM 67.046875 1704892778.1241
MEM 67.046875 1704892778.2249
MEM 67.046875 1704892778.3259
MEM 67.046875 1704892778.4268
MEM 67.046875 1704892778.5275
MEM 67.046875 1704892778.6281
MEM 67.046875 1704892778.7284
MEM 67.046875 1704892778.8293
